X1,doc_id,triple,src_file_id,file_section_id,section_sentence_id,src_column,speechdate,debate,text,year,decade
1253516,S2V0009P0_7970,landlord-have-power,S2V0009P0,4,13,560,1823-05-27,IRISH JOINT TENANCY BILL. ],"In short the landlord had every power over them, save that of life and death.",1823,1820
1253522,S2V0009P0_7989,landlord-have-power,S2V0009P0,4,32,560,1823-05-27,IRISH JOINT TENANCY BILL. ],"That it would check fictitious freeholds he would admit; but the number of bonâ fide voters would be increased: and they would be infinitely less dependent, as the landlord could have no further power over them, than the demand for the rent of each tenant, for which alone he could be responsible.",1823,1820
1888580,S2V0024P0_16774,landlord-have-power,S2V0024P0,11,610,1240,1830-05-28,PARLIAMENTARY REFORM. ],"No: if they did discuss those merits, unless hypocrisy was afterwards made use of, the landlord would have just as much power of discovering what the vote of his tenant was, whether the discussion took place in the public-house or on the hustings; neither did he believe that any assurance could be given that the ballot would be fairly taken.",1830,1830
1937125,S3V0001P0_12751,landlord-have-power,S3V0001P0,2,313,929,1830-12-09,GRAND JURIES (IRELAND). ],"Landlords ought to have the power of levying these taxes, and that system would be no improvement which took that power from them.",1830,1830
2238264,S3V0006P0_10373,landlord-have-power,S3V0006P0,3,102,678,1831-08-26,PARLIAMENTAY REFORM—BILL FOR ENGLAND—COMMITTEE—THIRTY SECOND DAY.,The landlord and the tenant had the power of making their own arrangements.,1831,1830
2496247,S3V0011P0_4755,landlord-have-power,S3V0011P0,2,428,170,1832-03-13,TITHES (IRELAND. )],"The landlord ought to bear the tithes, but then the landlord ought to have the same powers for collecting the tithes that he had for collecting his rent.",1832,1830
2837655,S3V0017P0_5402,landlord-have-power,S3V0017P0,2,71,273,1833-04-18,COMMUTATION OF TITHES (ENGLAND). ],The landlords also might have the power to make an arrangement with the tithe-receivers whether they had granted a lease or not.,1833,1830
2850034,S3V0017P0_9940,landlord-have-power,S3V0017P0,2,48,608,1833-04-25,ELECTION BY BALLOT. ],"What need is there to enact by law, that the landlord shall have power over the vote of his tenant?",1833,1830
2850036,S3V0017P0_9941,landlord-have-power,S3V0017P0,2,49,608,1833-04-25,ELECTION BY BALLOT. ],"The landlord has himself the power of enforcing his own dictation, and of inflicting a penalty on disobedience, much more serious than any which the law would provide—ejectment from house and home.",1833,1830
3242994,S3V0024P0_17290,landlord-have-power,S3V0024P0,1,932,1204,1834-07-04,CHURCH TEMPORALITIES AND TITHES (IRELAND). ],"If he understood the Bill, the landlord had the power of recovering in the shape of rent, if not in the shape of tithes, a sum equal to the limited amount he paid to the public.",1834,1830
